URL,Final Status Code,Intermediate Status Code
http://pushpenny.com/coupons/yourbestdealscom/,200,
http://pushpenny.com/coupons/yourbestdealscom/5003/page/8/,200,301
http://pushpenny.com/coupons/you-move-me/,200,
http://pushpenny.com/coupons/yourbestdealscom/5003/page/9/,200,301
http://pushpenny.com/coupons/yourbestdealscom/5003/page/7/,200,301
http://pushpenny.com/coupons/yourbestdealscom/5003/page/4/,200,301
http://pushpenny.com/coupons/yourbestdealscom/5003/page/6/,200,301
http://pushpenny.com/coupons/yourbestdealscom/5003/page/5/,200,301
http://pushpenny.com/coupons/yourbestdealscom/5003/page/3/,200,301
http://pushpenny.com/coupons/yourbestdealscom/5003/page/2/,200,301
http://pushpenny.com/coupons/your-hcg/5002/,200,301
http://pushpenny.com/coupons/york-photo/,200,
http://pushpenny.com/coupons/yourbestdealscom/5003/page/10/,200,301
http://pushpenny.com/coupons/your-deco-shop-canada/5001/,200,301
http://pushpenny.com/coupons/your-deco-shop/5000/,200,301
http://pushpenny.com/coupons/your-city-my-city/4999/,200,301
http://pushpenny.com/coupons/yourbestdealscom/5003/,200,301
http://pushpenny.com/coupons/yourbestdealscom/5003/page/11/,200,301
http://pushpenny.com/coupons/younkers/4998/,200,301
http://pushpenny.com/coupons/young-explorers/4997/,200,301
http://pushpenny.com/coupons/yoox/,200,
http://pushpenny.com/coupons/yourbestdealscom/5003/page/1/,200,301
http://pushpenny.com/coupons/yolandazhang/,200,
http://pushpenny.com/coupons/yola/,200,
http://pushpenny.com/coupons/yogadirect/,200,
http://pushpenny.com/coupons/york-photo/4996/,200,301
http://pushpenny.com/coupons/you-move-me/34965/,200,301
http://pushpenny.com/coupons/yoga-pro/,200,
http://pushpenny.com/coupons/yoga-clothing-for-you/,200,
http://pushpenny.com/coupons/yoga-clothingcom/,200,
http://pushpenny.com/coupons/yogaaccessoriescom/,200,
http://pushpenny.com/coupons/ylighting/,200,
http://pushpenny.com/coupons/yishun-bike/,200,
http://pushpenny.com/coupons/yesvideo/,200,
http://pushpenny.com/coupons/yoox/4995/,200,301
http://pushpenny.com/coupons/yesasiacom/,200,
http://pushpenny.com/coupons/yolandazhang/4994/,200,301
http://pushpenny.com/coupons/yourbestdealscom/page/1/,200,301-301
http://pushpenny.com/coupons/yola/4993/,200,301
http://pushpenny.com/coupons/yesstyle/,200,
http://pushpenny.com/coupons/yelp/,200,
http://pushpenny.com/coupons/yogadirect/4992/,200,301
http://pushpenny.com/coupons/ybridal/,200,
http://pushpenny.com/coupons/yogaaccessoriescom/4991/page/1/,200,301
http://pushpenny.com/coupons/yogaaccessoriescom/4991/,200,301
http://pushpenny.com/coupons/yahoo-web-hosting/,200,
http://pushpenny.com/coupons/yoga-clothing-for-you/4988/,200,301
http://pushpenny.com/coupons/yoga-pro/4989/,200,301
http://pushpenny.com/coupons/yoga-clothingcom/4990/,200,301
http://pushpenny.com/coupons/yankee-candle/,200,
http://pushpenny.com/coupons/yahoo-autos/,200,
http://pushpenny.com/coupons/yesvideo/128670/,200,301
http://pushpenny.com/coupons/yahoo-small-business/,200,
http://pushpenny.com/coupons/ylighting/4987/,200,301
http://pushpenny.com/coupons/xtralights/,200,
http://pushpenny.com/coupons/xsitepro/,200,
http://pushpenny.com/coupons/yesasiacom/4983/,200,301
http://pushpenny.com/coupons/xterra-footwear/,200,
http://pushpenny.com/coupons/yelp/4982/,200,301
http://pushpenny.com/coupons/yishun-bike/4986/,200,301
http://pushpenny.com/coupons/yesstyle/4984/,200,301
http://pushpenny.com/coupons/xperience-days/,500,
http://pushpenny.com/coupons/xperience-days/4976/,500,
http://pushpenny.com/coupons/ybridal/4981/,200,301
http://pushpenny.com/coupons/xpress-redi-set-go/,200,
http://pushpenny.com/coupons/yankee-candle/219817/,200,301
http://pushpenny.com/coupons/yogaaccessoriescom/page/1/,200,301-301
http://pushpenny.com/coupons/xmricom/,200,
http://pushpenny.com/coupons/yahoo-web-hosting/4980/,200,301
http://pushpenny.com/coupons/xerox/,200,
http://pushpenny.com/coupons/xilisoft/,200,
http://pushpenny.com/coupons/yahoo-small-business/219816/,200,301
http://pushpenny.com/coupons/yahoo-autos/219815/,200,301
http://pushpenny.com/coupons/xeroshoes/,200,
http://pushpenny.com/coupons/xtralights/6203/,200,301
http://pushpenny.com/coupons/xenon-project/,200,
http://pushpenny.com/coupons/x-out/,200,
http://pushpenny.com/coupons/xcart/,200,
http://pushpenny.com/coupons/xsitepro/4978/,200,301
http://pushpenny.com/coupons/xterra-footwear/4979/,200,301
http://pushpenny.com/coupons/wyzant/,200,
http://pushpenny.com/coupons/wyomingflyfishingcom/,200,
http://pushpenny.com/coupons/wysong/,200,
http://pushpenny.com/coupons/xpress-redi-set-go/4977/,200,301
http://pushpenny.com/coupons/xmricom/4975/,200,301
http://pushpenny.com/coupons/xerox/4974/,200,301
http://pushpenny.com/coupons/wu-wear/,200,
http://pushpenny.com/coupons/xilisoft/6505/,200,301
http://pushpenny.com/coupons/wwe-shop/,200,
http://pushpenny.com/coupons/wyndham-hotel-group/,200,
http://pushpenny.com/coupons/xenon-project/4972/,200,301
http://pushpenny.com/coupons/wrkg-title/,200,
http://pushpenny.com/coupons/xeroshoes/4973/,200,301
http://pushpenny.com/coupons/wsjwine/,200,
http://pushpenny.com/coupons/xcart/5801/,200,301
http://pushpenny.com/coupons/x-out/4971/,200,301
http://pushpenny.com/coupons/writers-store/,200,
http://pushpenny.com/coupons/writers-digest-shop/,200,
http://pushpenny.com/coupons/wyzant/4970/,200,301
http://pushpenny.com/coupons/wristbandexpresscom/,200,
http://pushpenny.com/coupons/wristwatchcom/,200,
http://pushpenny.com/coupons/wyomingflyfishingcom/4967/,200,301
http://pushpenny.com/coupons/wysong/4968/,200,301
http://pushpenny.com/coupons/wysong/4968/page/1/,200,301
http://pushpenny.com/coupons/wyndham-hotel-group/4966/,200,301
http://pushpenny.com/coupons/wu-wear/4964/,200,301
http://pushpenny.com/coupons/wrappedhersheyscom/,200,
http://pushpenny.com/coupons/wranglercom/,200,
http://pushpenny.com/coupons/wrapables/,200,
http://pushpenny.com/coupons/wwe-shop/4965/,200,301
http://pushpenny.com/coupons/wsjwine/4963/,200,301
http://pushpenny.com/coupons/wp-engine/,200,
http://pushpenny.com/coupons/wrkg-title/5095/,200,301
http://pushpenny.com/coupons/wowmyuniversecom/,200,
http://pushpenny.com/coupons/writers-store/4962/,200,301
